ad_id,Donate,Contact,Purchase,Vote,Event,Poll,Acquisition,Learn,Persuade
x_1003623041430006,0,0,0,1,0,0,0,1,0
x_1003624074783247,0,0,1,0,0,0,0,0,0
x_1003633091546915,0,0,0,0,0,0,0,0,0
x_1003651971519092,0,0,0,1,0,0,0,1,1
x_1003652614779123,0,0,0,0,0,0,0,0,1
x_1003661714845459,0,0,0,0,0,0,0,0,0
x_1003670591447952,1,0,0,0,0,0,0,0,0
x_1003672557928462,0,0,0,0,0,0,1,0,0
x_1003683684831535,0,0,0,0,0,0,0,1,1
x_1003689401490375,0,0,0,1,0,0,0,0,0
x_1003697068194316,0,0,1,0,0,0,0,0,0
x_1003697378194602,0,0,0,1,0,0,0,0,0
x_1003702241209333,0,0,0,0,0,1,0,0,0
x_1003709908191354,0,0,0,0,0,0,0,0,1
x_1003733761395440,1,0,0,0,0,0,0,0,1
x_1003743604783996,0,0,0,0,0,0,0,0,0
x_1003787458172463,0,0,0,0,0,0,0,1,1
x_1003787991548711,0,0,0,0,0,0,0,1,0
x_1003790328086763,0,0,0,1,0,0,0,1,0
x_1003792774826344,1,0,0,0,0,0,0,1,0
x_1003794448426862,0,0,0,1,0,0,0,1,0
x_1003802674884604,0,0,0,0,0,1,0,0,0
x_1003807458100228,0,0,0,0,0,0,0,0,0
x_1003819831517730,1,0,0,0,0,0,0,0,0
x_1003823264829839,0,0,0,0,0,0,0,1,0
x_1003839421505315,0,0,0,1,0,0,0,0,0
x_1003839751143340,0,0,0,0,0,0,0,0,0
x_1003844968213298,0,0,0,0,0,0,0,0,0
x_1003846857847613,0,0,1,0,0,0,0,0,0
x_1003859981492045,0,0,0,0,0,0,0,0,1
x_1003862071393308,0,0,0,0,0,0,0,1,0
x_1003865558161199,1,0,0,0,0,0,0,0,0
x_1003872471471477,1,0,0,0,0,1,0,0,0
x_1003874448172183,0,0,0,1,0,0,0,0,1
x_1003880584767535,0,0,0,0,0,0,0,1,1
x_1003892891425006,0,0,0,1,0,0,0,0,0
x_1003897684478293,0,0,0,0,0,0,1,0,0
x_1003902211470347,0,0,0,0,0,1,0,0,0
x_1003903121746484,1,0,0,0,0,0,0,0,0
x_1003904658178725,1,0,0,0,0,0,0,0,0
x_1003906440668410,0,0,0,0,0,0,0,1,1
x_1003913638189078,0,0,0,0,0,0,1,0,0
x_1003918541507405,0,0,0,0,0,0,0,1,0
x_1003924021426036,1,0,0,0,0,0,0,0,0
x_1003925418086555,1,0,0,0,0,0,0,0,0
x_1003934154820865,0,0,0,0,1,0,0,0,0
x_1003991511467348,1,0,0,0,0,0,0,0,0
x_1003999397911552,0,1,0,0,0,0,0,0,0
x_1004001004816323,1,0,0,0,0,0,0,0,0
x_1004002051026269,1,0,0,0,0,0,0,0,0
x_1004023651736315,0,0,0,0,0,0,0,0,0
